Std.Ord,Run.Ord,Blk.Pos,Blocks,A,B,C,D,E,F,G
43,1,9,1,1,-1,1,-1,1,-1,-1
26,2,6,1,-1,1,1,-1,-1,1,-1
8,3,4,1,-1,-1,-1,1,1,1,-1
1,4,1,1,-1,-1,-1,-1,-1,-1,1
51,5,13,1,1,1,-1,-1,1,-1,-1
54,6,16,1,1,1,-1,1,-1,1,1
53,7,15,1,1,1,-1,1,-1,-1,-1
2,8,2,1,-1,-1,-1,-1,-1,1,-1
25,9,5,1,-1,1,1,-1,-1,-1,1
32,10,8,1,-1,1,1,1,1,1,-1
52,11,14,1,1,1,-1,-1,1,1,1
45,12,11,1,1,-1,1,1,-1,-1,-1
31,13,7,1,-1,1,1,1,1,-1,1
44,14,10,1,1,-1,1,-1,1,1,1
46,15,12,1,1,-1,1,1,-1,1,1
7,16,3,1,-1,-1,-1,1,1,-1,1
3,17,1,2,-1,-1,-1,-1,1,-1,-1
56,18,16,2,1,1,-1,1,1,1,-1
41,19,9,2,1,-1,1,-1,-1,-1,1
48,20,12,2,1,-1,1,1,1,1,-1
5,21,3,2,-1,-1,-1,1,-1,-1,-1
6,22,4,2,-1,-1,-1,1,-1,1,1
4,23,2,2,-1,-1,-1,-1,1,1,1
30,24,8,2,-1,1,1,1,-1,1,1
50,25,14,2,1,1,-1,-1,-1,1,-1
28,26,6,2,-1,1,1,-1,1,1,1
49,27,13,2,1,1,-1,-1,-1,-1,1
55,28,15,2,1,1,-1,1,1,-1,1
29,29,7,2,-1,1,1,1,-1,-1,-1
42,30,10,2,1,-1,1,-1,-1,1,-1
27,31,5,2,-1,1,1,-1,1,-1,-1
47,32,11,2,1,-1,1,1,1,-1,1
24,33,8,3,-1,1,-1,1,1,1,1
35,34,9,3,1,-1,-1,-1,1,-1,1
60,35,14,3,1,1,1,-1,1,1,-1
36,36,10,3,1,-1,-1,-1,1,1,-1
9,37,1,3,-1,-1,1,-1,-1,-1,-1
62,38,16,3,1,1,1,1,-1,1,-1
38,39,12,3,1,-1,-1,1,-1,1,-1
37,40,11,3,1,-1,-1,1,-1,-1,1
17,41,5,3,-1,1,-1,-1,-1,-1,-1
18,42,6,3,-1,1,-1,-1,-1,1,1
16,43,4,3,-1,-1,1,1,1,1,1
23,44,7,3,-1,1,-1,1,1,-1,-1
10,45,2,3,-1,-1,1,-1,-1,1,1
15,46,3,3,-1,-1,1,1,1,-1,-1
59,47,13,3,1,1,1,-1,1,-1,1
61,48,15,3,1,1,1,1,-1,-1,1
64,49,16,4,1,1,1,1,1,1,1
40,50,12,4,1,-1,-1,1,1,1,1
14,51,4,4,-1,-1,1,1,-1,1,-1
12,52,2,4,-1,-1,1,-1,1,1,-1
19,53,5,4,-1,1,-1,-1,1,-1,1
33,54,9,4,1,-1,-1,-1,-1,-1,-1
13,55,3,4,-1,-1,1,1,-1,-1,1
39,56,11,4,1,-1,-1,1,1,-1,-1
21,57,7,4,-1,1,-1,1,-1,-1,1
22,58,8,4,-1,1,-1,1,-1,1,-1
34,59,10,4,1,-1,-1,-1,-1,1,1
58,60,14,4,1,1,1,-1,-1,1,1
11,61,1,4,-1,-1,1,-1,1,-1,1
57,62,13,4,1,1,1,-1,-1,-1,-1
63,63,15,4,1,1,1,1,1,-1,-1
20,64,6,4,-1,1,-1,-1,1,1,-1
