Std.Ord,Run.Ord,Blk.Pos,Blocks,A,B,C,D,E,F,G
43,1,9,1,long,low,large,light,heavy,short,lm
26,2,6,1,short,high,large,light,light,long,lm
8,3,4,1,short,low,small,heavy,heavy,long,lm
1,4,1,1,short,low,small,light,light,short,mh
51,5,13,1,long,high,small,light,heavy,short,lm
54,6,16,1,long,high,small,heavy,light,long,mh
53,7,15,1,long,high,small,heavy,light,short,lm
2,8,2,1,short,low,small,light,light,long,lm
25,9,5,1,short,high,large,light,light,short,mh
32,10,8,1,short,high,large,heavy,heavy,long,lm
52,11,14,1,long,high,small,light,heavy,long,mh
45,12,11,1,long,low,large,heavy,light,short,lm
31,13,7,1,short,high,large,heavy,heavy,short,mh
44,14,10,1,long,low,large,light,heavy,long,mh
46,15,12,1,long,low,large,heavy,light,long,mh
7,16,3,1,short,low,small,heavy,heavy,short,mh
3,17,1,2,short,low,small,light,heavy,short,lm
56,18,16,2,long,high,small,heavy,heavy,long,lm
41,19,9,2,long,low,large,light,light,short,mh
48,20,12,2,long,low,large,heavy,heavy,long,lm
5,21,3,2,short,low,small,heavy,light,short,lm
6,22,4,2,short,low,small,heavy,light,long,mh
4,23,2,2,short,low,small,light,heavy,long,mh
30,24,8,2,short,high,large,heavy,light,long,mh
50,25,14,2,long,high,small,light,light,long,lm
28,26,6,2,short,high,large,light,heavy,long,mh
49,27,13,2,long,high,small,light,light,short,mh
55,28,15,2,long,high,small,heavy,heavy,short,mh
29,29,7,2,short,high,large,heavy,light,short,lm
42,30,10,2,long,low,large,light,light,long,lm
27,31,5,2,short,high,large,light,heavy,short,lm
47,32,11,2,long,low,large,heavy,heavy,short,mh
24,33,8,3,short,high,small,heavy,heavy,long,mh
35,34,9,3,long,low,small,light,heavy,short,mh
60,35,14,3,long,high,large,light,heavy,long,lm
36,36,10,3,long,low,small,light,heavy,long,lm
9,37,1,3,short,low,large,light,light,short,lm
62,38,16,3,long,high,large,heavy,light,long,lm
38,39,12,3,long,low,small,heavy,light,long,lm
37,40,11,3,long,low,small,heavy,light,short,mh
17,41,5,3,short,high,small,light,light,short,lm
18,42,6,3,short,high,small,light,light,long,mh
16,43,4,3,short,low,large,heavy,heavy,long,mh
23,44,7,3,short,high,small,heavy,heavy,short,lm
10,45,2,3,short,low,large,light,light,long,mh
15,46,3,3,short,low,large,heavy,heavy,short,lm
59,47,13,3,long,high,large,light,heavy,short,mh
61,48,15,3,long,high,large,heavy,light,short,mh
64,49,16,4,long,high,large,heavy,heavy,long,mh
40,50,12,4,long,low,small,heavy,heavy,long,mh
14,51,4,4,short,low,large,heavy,light,long,lm
12,52,2,4,short,low,large,light,heavy,long,lm
19,53,5,4,short,high,small,light,heavy,short,mh
33,54,9,4,long,low,small,light,light,short,lm
13,55,3,4,short,low,large,heavy,light,short,mh
39,56,11,4,long,low,small,heavy,heavy,short,lm
21,57,7,4,short,high,small,heavy,light,short,mh
22,58,8,4,short,high,small,heavy,light,long,lm
34,59,10,4,long,low,small,light,light,long,mh
58,60,14,4,long,high,large,light,light,long,mh
11,61,1,4,short,low,large,light,heavy,short,mh
57,62,13,4,long,high,large,light,light,short,lm
63,63,15,4,long,high,large,heavy,heavy,short,lm
20,64,6,4,short,high,small,light,heavy,long,lm
