y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
57.4,60.5,58.4,56.2,54.1,58.3,58.2,55.5,60.9,60.9
75.8,79,80.2,71.5,75.5,75.1,75.2,77.2,71,73.4
64.2,64,63.9,62.5,56.2,63.5,63,59.2,57.7,64.8
73.2,67.3,66.7,62.2,70.6,72.4,62.3,68.7,65.8,69.9
55.8,59.1,60.2,58.7,56.8,52,53.2,58.7,54.8,59.6
73.2,73.3,75,72.7,67.8,76.3,74,68.4,66.8,71.9
69.7,67.5,68.8,67.8,69.3,64.2,68.6,66.6,62.4,63.7
70.8,73,71.6,80.8,81.6,77.7,78.7,77,72.4,81.3
62.9,70.7,71.6,69.3,72.3,62.1,67,70.7,67.5,69.9
62.6,59,55.3,62.7,56.8,62,57.4,63,63.6,62.6
67.3,74.5,68,73.8,68.9,72.7,69.7,65.3,68.4,71.6
64,66.4,67.2,60.6,68,67.1,67.9,61.4,60.5,64.2
53.3,49,56.3,52.1,56.9,53,48.6,55.2,48,49.1
71.5,68,67.2,69.2,71.8,74.9,71.9,67.9,69.3,66.9
65.8,74.3,65.9,69.5,65.7,74.1,66.9,71.8,76.3,71.1
49.4,52.4,47.1,48.2,54.2,52.9,47.4,56.7,47.8,55.1
61.3,57.7,60.2,58.1,52.5,57.1,61.4,60.6,58,60.9
60.3,55.8,56.6,60,56,61.9,62.5,57.2,56.2,62.1
65.2,61.8,73.2,64.3,62.1,73,72.5,66.5,64.8,69
57.9,59.5,57.4,58.7,55.3,55.2,56.9,63.7,59.5,64.5
61,69.8,64,69.7,62.3,64.4,66.2,61.5,64.6,65.9
73.2,72.4,68.8,67.8,68.5,70.4,73.8,74.4,65.6,74.8
66.6,65.1,67.6,65.5,67,67.1,72.1,72.3,66,74.2
65.1,67.9,74.8,69,69.5,73,68.7,67.8,65.8,72.5
77.2,75.3,78.6,74.9,77.8,75.1,74.4,77.1,78,75.2
72.4,71,65.5,71,68.6,65.4,70.5,71.6,69.6,73.3
67.2,71.5,68.7,60.3,72.7,71.6,62.4,60.9,64.3,67.3
47.7,49.7,53.7,47.4,53.7,48.6,53.4,47.8,55.9,56
66.9,66.6,68.1,67.4,65.9,61.2,60.4,61.3,64.4,65.3
81.9,75.2,81.8,80.5,79.9,72.9,76,70.4,70.7,80.7
61.9,58.4,56.8,56.6,57.7,57.6,59.8,60.4,58.8,57.6
48.4,55.3,55.5,54.9,51,49.5,55.2,55.6,52.5,49.7
57.6,60.6,56,59.7,56.3,62.4,57.4,64.2,60.2,55.6
62,61.5,59.8,59.3,58.1,54.8,58.6,60.4,55.4,57
66.6,68.9,69.8,68.4,68.1,72.6,69.1,69.4,73.2,67.1
66.4,73.5,71,72.4,67.3,70.4,70.1,71.1,70.6,70
68.7,67.3,64.9,67.8,72.9,63.2,68,65.1,69.5,61.7
72.8,76.5,66.7,71.6,73.3,76.5,65.1,70.1,77,72.6
75.8,67.4,66.9,65.9,67.7,72.6,70,70,68.4,66.1
60.7,64.2,66.9,62.7,67.7,63.2,66.2,68.1,62.2,60.7
60.3,72.9,63.4,63,70.8,71.2,66.8,61.7,66.4,73.3
72,73.9,71,72.1,70.4,77.5,76.7,80.9,76.6,70.5
59,58.6,56,63.1,60,61.3,57.8,55.9,58.2,58.7
51.1,56.7,54.2,55.3,53.6,55.5,53.4,55.3,51.7,49.1
71,75.6,75.6,77.7,75.2,73,75.7,74.1,78,72.4
52.2,52.1,56.3,50.3,56.1,52.9,56.6,54.6,53.1,52.8
58.9,58.3,61.2,59.4,55.5,59.1,59.8,55.1,53.6,56.5
68.1,61.4,67.7,69.6,64.2,69,64.8,61.7,66.4,68.7
56.2,55.2,61.1,56.1,55.1,59,57.2,56.8,64.6,63.1
62.1,57.4,61.4,63.9,63.4,57.3,64.6,63.7,57.5,59
69.3,68.8,69.8,71.5,70.7,67.6,70.3,69.5,73.5,73.7
66,68.8,69.8,73,72.7,70.4,72,69.1,72.5,66.1
59.5,58.2,55.2,58.9,59.4,56.5,52.9,58.6,59.7,57.8
60.9,68.9,64.6,70.7,72.8,60,72.8,68.2,68.8,68.6
60.4,61.9,61.2,61.8,68,61.8,65,62.2,65.1,65.1
48,54.9,56.6,52.1,54.1,52.6,51.2,47.6,55.1,47.7
67.5,68.9,62.8,62.9,62.8,69.1,62.7,63.7,67.2,60
75.9,70.2,70.6,75.9,66.9,75.2,75.5,65.5,71.7,73
71.4,72.6,79.1,80.8,76.7,80.6,78,79.7,71.2,78.4
76.3,77.7,74.9,76.9,71.6,80.9,74.6,78.5,77.2,70.2
58.4,59.3,61.7,58.2,54.6,60.7,61.6,55.3,58.9,57.5
66.1,72.7,63.9,69.5,73,67.6,65.8,73.6,74.2,71.6
53.6,51.8,47,48.3,52.5,52.7,49.7,54.7,51.2,56
65.3,72.6,75,67.7,73.8,65.2,67.4,74,66.5,71.8
